uf,cnpj,cns,nome_oficial,municipio,cep,homepage,data_instalacao,atribuicoes,area_abrangencia,comarca
CE,11.455.161/0001-96,01.798-8,ofício de registro civil das pessoas naturais - canafístula,Jucás,63585000,"",1937-02-23,casamentos;nascimentos;óbitos,distrito de canafístula,jucás
CE,41.340.027/0001-00,13.585-5,ofício de registro civil das pessoas naturais - mel,Jucás,63580000,"",1973-11-28,casamentos;nascimentos;óbitos,distrito de mel,jucás
CE,05.715.404/0001-85,01.972-9,1º ofício do registro civil e tabelionato de notas e protesto,Lavras da Mangabeira,63300000,"",1864-03-08,casamentos;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de títulos e documentos,município de lavras da mangabeira,lavras da mangabeira
CE,05.715.354/0001-36,90.193-4,"2º tabelionato de notas, protestos de titulos e registro de imoveis",Lavras da Mangabeira,63300000,"",1913-03-25,notas;protesto de títulos;registro de imóveis,comarca de lavras da mangabeira,lavras da mangabeira
CE,12.465.142/0001-03,01.618-8,ofício de registro civil das pessoas naturais - amaniutuba,Lavras da Mangabeira,63306000,"",1940-09-02,casamentos;nascimentos;óbitos,distrito de amaniutuba,lavras da mangabeira
CE,09.133.969/0001-05,01.880-4,ofício de registro civil das pessoas naturais - arrojado,Lavras da Mangabeira,63305000,"",1939-05-31,casamentos;nascimentos;óbitos,distrito de arrojado,lavras da mangabeira
CE,12.473.526/0001-78,01.891-1,ofício de registro civil e tabelionato de notas - iborepi,Lavras da Mangabeira,63300000,"",1944-07-23,casamentos;nascimentos;notas;óbitos,distrito de iborepi,lavras da mangabeira
CE,12.465.134/0001-67,01.894-5,ofício de registro civil das pessoas naturais e tabelionato de notas - mangabeira,Lavras da Mangabeira,63307000,"",1911-10-30,casamentos;nascimentos;notas;óbitos,distrito de mangabeira,lavras da mangabeira
CE,05.340.225/0001-00,13.587-1,ofício de registro civil das pessoas naturais e tabelionato de notas - quitaiús,Lavras da Mangabeira,63308000,"",1911-10-30,casamentos;nascimentos;notas;óbitos,distrito de quitaiús,lavras da mangabeira
CE,06.584.668/0001-00,01.746-7,1º tabelionato de notas e anexos,Limoeiro do Norte,62930000,"",1946-07-02,casamentos;distribuidor;distribuidor extrajudicial;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de títulos e documentos;registros públicos,município de limoeiro do norte,limoeiro do norte
CE,06.584.700/0001-57,02.047-9,2º tabelionato de notas e anexos,Limoeiro do Norte,62930000,"",1946-07-02,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de limoeiro do norte,limoeiro do norte
CE,10.508.711/0001-25,01.625-3,ofício de registro civil das pessoas naturais e anexos,Madalena,63860000,"",1984-10-16,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de madalena,madalena
CE,"",13.701-8,ofício de registro civil das pessoas naturais - macaoca,Madalena,63860000,"",1991-10-09,casamentos;nascimentos;óbitos,distrito de macaoca,madalena
CE,23.718.984/0001-46,02.063-6,ofício de registro civil das pessoas naturais,Maracanaú,61905150,"",1934-11-07,casamentos;nascimentos;óbitos,município de maracanaú,maracanaú
CE,23.719.610/0001-45,02.048-7,"2º tabelionato de notas, protesto e ofício de registros públicos",Maracanaú,61900000,"",1990-02-08,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de maracanaú,maracanaú
CE,00.717.121/0001-59,01.553-7,"1º tabelionato de notas, 1º ofício de registro civil das pessoas naturais e anexos",Maracanaú,61900000,"",1995-07-31,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de títulos e documentos,município de maracanaú,maracanaú
CE,02.829.913/0001-40,01.559-4,2º ofício de registro de imóveis da 2ª zona,Maracanaú,61900000,"",1998-11-26,registro de imóveis,2ª zona parte de pajuçara;alto alegre etc;conjuntos industrial;ii;jereisate i;loteamentos pq. novo mondubim;novo oriente;parte do iii,maracanaú
CE,14.922.743/0001-23,15.411-2,ofício de registro civil das pessoas naturais - pajuçara,Maracanaú,61932160,"",2012-02-06,casamentos;nascimentos;notas;óbitos,distrito de pajuçara,maracanaú
CE,06.578.512/0001-16,01.739-2,"1º tabelionato de notas, ofício de registro civil das pessoas naturais e anexos",Maranguape,61940000,"",1960-10-04,casamentos;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de títulos e documentos,município de maranguape,maranguape
